"Theta [deg]","dB10normalize(GainTotal) [] - Freq='11.09GHz' Lpar='6.83mm' Phi='0deg' Wcuartos='0.6mm' Wpar='7mm'","dB10normalize(GainTotal)_1 [] - Freq='11.09GHz' Lpar='6.83mm' Phi='90.0000000000002deg' Wcuartos='0.6mm' Wpar='7mm'"
0,0,-0.951721308211957
1,-0.00246836262550897,-1.0534008064845
2,-0.00864881856155797,-1.15991986744471
3,-0.0185344369633485,-1.27116403233633
4,-0.0321167026446811,-1.38700147546069
5,-0.0493855378349819,-1.50728183531089
6,-0.0703293256947244,-1.63183504712192
7,-0.0949349354465117,-1.76047019532854
8,-0.123187748972385,-1.89297440935676
9,-0.155071688721099,-2.02911183176083
10,-0.19056924676276,-2.16862269388237
11,-0.229661514821844,-2.31122254082071
12,-0.272328215113859,-2.45660165434699
13,-0.318547731804985,-2.60442472916008
14,-0.368297142908987,-2.75433086414595
15,-0.421552252430621,-2.90593393551483
16,-0.478287622561066,-3.05882342218438
17,-0.538476605726791,-3.21256575475975
18,-0.602091376291221,-3.3667062570669
19,-0.669102961706592,-3.52077174251554
20,-0.73948127291281,-3.67427381575246
21,-0.813195133781056,-3.82671291241535
22,-0.890212309401237,-3.9775830859132
23,-0.970499533016505,-4.12637752007611
24,-1.05402253141211,-4.27259471086828
25,-1.14074604857283,-4.41574522047628
26,-1.23063386743086,-4.55535886507659
27,-1.32364882953538,-4.6909921562948
28,-1.41975285248673,-4.8222357792296
29,-1.5189069449899,-4.94872186067472
30,-1.62107121939699,-5.07013076350875
31,-1.72620490162288,-5.18619714025082
32,-1.83426633833616,-5.29671499258127
33,-1.94521300134461,-5.40154151481523
34,-2.0590014891141,-5.5005995467836
35,-2.17558752537964,-5.59387852244691
36,-2.29492595482886,-5.68143387042951
37,-2.41697073585966,-5.76338489602803
38,-2.54167493043645,-5.83991124521094
39,-2.66899069109341,-5.91124811406952
40,-2.79886924515626,-5.97768041744759
41,-2.93126087627996,-6.03953616489093
42,-3.06611490342468,-6.09717930916935
43,-3.2033796574193,-6.15100233274956
44,-3.34300245528908,-6.20141882256089
45,-3.4849295725533,-6.24885625616471
46,-3.62910621372904,-6.29374918660645
47,-3.77547648130912,-6.33653297256085
48,-3.92398334351707,-6.3776381583882
49,-4.07456860117818,-6.41748556835677
50,-4.22717285408591,-6.45648214280146
51,-4.38173546728486,-6.49501751284562
52,-4.53819453773868,-6.53346128526443
53,-4.6964868619006,-6.57216099024662
54,-4.85654790475904,-6.61144063188603
55,-5.01831177098916,-6.65159977355318
56,-5.18171117890415,-6.69291308703044
57,-5.34667743796764,-6.73563029454341
58,-5.51314043069975,-6.7799764357138
59,-5.68102859988567,-6.82615239619113
60,-5.85026894207314,-6.87433564061066
61,-6.02078700842748,-6.92468109900663
62,-6.19250691409412,-6.97732216244838
63,-6.36535135730213,-7.0323717501392
64,-6.53924164952118,-7.08992341629882
65,-6.71409775806179,-7.15005247070546
66,-6.88983836257802,-7.21281709172241
67,-7.0663809269924,-7.27825941495618
68,-7.24364178841098,-7.34640658439851
69,-7.42153626462824,-7.41727175602849
70,-7.5999787818341,-7.49085504644514
71,-7.77888302412365,-7.56714442122463
72,-7.95816210637108,-7.64611651941306
73,-8.13772877195833,-7.727737411937
74,-8.31749561674197,-7.81196329280172
75,-8.49737534049582,-7.89874110280533
76,-8.67728102687822,-7.98800908617885
77,-8.85712645273861,-8.07969728111295
78,-9.03682642729907,-8.17372794559346
79,-9.21629716141873,-8.27001592037745
80,-9.39545666677669,-8.3684689313306
81,-9.57422518439322,-8.46898783374605
82,-9.75252564145409,-8.57146680169829
83,-9.93028413491517,-8.67579346597648
84,-10.1074304398522,-8.78184900470856
85,-10.2838985399938,-8.88950819144727
86,-10.4596271773448,-8.99863940625424
87,-10.6345604172905,-9.10910461619779
88,-10.8086482250741,-9.22075933267962
89,-10.9818470490913,-9.33345255412352
90,-11.1541204060487,-9.44702670378955
91,-11.3254394627083,-9.56131757380506
92,-11.4957836087093,-9.67615428790488
93,-11.6651410148232,-9.79135929681267
94,-11.8335091709788,-9.90674842162607
95,-12.000895398495,-10.0221309619283
96,-12.1673173311848,-10.1373098865612
97,-12.3328033603496,-10.2520821259685
98,-12.4973930391594,-10.366238985645
99,-12.6611374425068,-10.4795667003894
100,-12.8240994791242,-10.5918471486232
101,-12.9863541535393,-10.702858744878
102,-13.1479887763033,-10.8123775265364
103,-13.3091031218358,-10.9201784479252
104,-13.4698095341662,-11.0260368908215
105,-13.6302329817927,-11.1297303952933
106,-13.7905110637994,-11.2310406085771
107,-13.9507939702567,-11.3297554424745
108,-14.1112444007462,-11.425671421706
109,-14.272037445599,-11.5185961970425
110,-14.4333604350861,-11.6083511882152
111,-14.5954127623543,-11.6947743130075
112,-14.7584056863469,-11.7777227510735
113,-14.9225621212889,-11.8570756844545
114,-15.0881164195471,-11.932736952018
115,-15.2553141548105,-12.0046375526267
116,-15.4244119125736,-12.0727379321571
117,-15.5956770948595,-12.1370299927959
118,-15.7693877460013,-12.1975387694004
119,-15.9458324061207,-12.2543237270097
120,-16.1253099987081,-12.3074796454516
121,-16.3081297584387,-12.3571370708735
122,-16.4946112050454,-12.4034623291961
123,-16.6850841687393,-12.4466571121233
124,-16.8798888722986,-12.4869576615626
125,-17.0793760745522,-12.524633592276
126,-17.2839072795481,-12.5599864045575
127,-17.4938550152002,-12.5933477481368
128,-17.7096031846297,-12.625077504973
129,-17.9315474927147,-12.6555617619702
130,-18.1600959494876,-12.685210744991
131,-18.3956694508864,-12.7144567831281
132,-18.6387024358934,-12.7437523674454
133,-18.8896436171166,-12.7735683618595
134,-19.1489567792273,-12.8043924160949
135,-19.4171216360827,-12.8367276223377
136,-19.6946347325109,-12.8710914489108
137,-19.9820103701358,-12.9080149765436
138,-20.2797815276434,-12.9480424560536
139,-20.5885007336644,-12.9917312008726
140,-20.9087408337915,-13.0396518241142
141,-21.2410955705253,-13.0923888280017
142,-21.5861798639308,-13.1505415535968
143,-21.9446296384145,-13.214725501001
144,-22.3171009830877,-13.285574034632
145,-22.7042683538869,-13.3637404949
146,-23.1068214170491,-13.4499007467814
147,-23.5254599849013,-13.5447562076059
148,-23.9608862916064,-13.6490374111857
149,-24.4137935790432,-13.7635081836918
150,-24.8848495859376,-13.8889705291473
151,-25.374673024631,-14.026270350043
152,-25.8838004514824,-14.1763041628013
153,-26.4126400490106,-14.340027010556
154,-26.9614077104187,-14.5184618296545
155,-27.5300394565127,-14.7127105951551
156,-28.1180727199051,-14.9239676595212
157,-28.7244877002763,-15.153535814935
158,-29.3474995171683,-15.4028457633093
159,-29.9842936523751,-15.6734798836282
160,-30.630703685235,-15.967201464492
161,-31.2808455515765,-16.2859909509404
162,-31.9267516609796,-16.6320912833984
163,-32.5580953037745,-17.0080651495817
164,-33.1621576675168,-17.4168680282922
165,-33.7242445403952,-17.8619424321072
166,-34.2287558053364,-18.3473409948795
167,-34.6609763354008,-18.8778893788411
168,-35.0093576888497,-19.4594049969448
169,-35.2676939868112,-20.0989952169806
170,-35.4364152440106,-20.8054705412859
171,-35.5224575244897,-21.5899265000373
172,-35.5377554119936,-22.4665755748179
173,-35.4969569034679,-23.4539490805792
174,-35.4151324045388,-24.5766290315842
175,-35.3060251787105,-25.8676449358999
176,-35.1810218907602,-27.3712483763638
177,-35.0487451345781,-29.1433788435048
178,-34.9150593903292,-31.2351019051483
179,-34.783292729674,-33.5878443196887
180,-34.6545378695558,-35.6062591777678
181,-34.5279607652041,-35.784050143465
182,-34.4010940992576,-33.9493588283005
183,-34.2701242685071,-31.6242431499846
184,-34.1301965019484,-29.5283635233455
185,-33.9757659044434,-27.7556045227947
186,-33.8010132705376,-26.2598070511567
187,-33.6003240920318,-24.9841496717541
188,-33.3688005105172,-23.882928012362
189,-33.1027469886395,-22.9219791892545
190,-32.8000531404246,-22.0759563490252
191,-32.4604024948959,-21.3258480118975
192,-32.0852668781994,-20.6571655188939
193,-31.6776932668528,-20.058682600172
194,-31.2419353579583,-19.521563770805
195,-30.783008775654,-19.0387559704269
196,-30.3062499061132,-18.6045577034196
197,-29.8169388448441,-18.2143089408382
198,-29.3200184987559,-17.8641643391471
199,-28.8199155909285,-17.5509248526911
200,-28.3204513694828,-17.2719109330853
201,-27.8248212550211,-17.0248658137874
202,-27.3356213536352,-16.8078808895624
203,-26.8549026785014,-16.6193375580673
204,-26.3842384946956,-16.457861496848
205,-25.9247947946691,-16.3222864589731
206,-25.4773977373078,-16.2116254481186
207,-25.0425947188341,-16.1250476855927
208,-24.6207076648244,-16.0618601775651
209,-24.211878330116,-16.0214929772407
210,-23.8161060716527,-16.0034874451611
211,-23.4332788917827,-16.0074869622703
212,-23.0631986667095,-16.0332296588884
213,-22.7056014675389,-16.0805427973027
214,-22.360173809089,-16.1493384915253
215,-22.0265655611537,-16.2396104668368
216,-21.7044001497274,-16.3514315529209
217,-21.3932825734305,-16.4849515631193
218,-21.0928056685638,-16.6403951297456
219,-20.802554976845,-16.8180589268297
220,-20.522112502944,-17.0183074942584
221,-20.2510595934443,-17.2415665462939
222,-19.9889791234225,-17.4883121508923
223,-19.7354571399416,-17.7590534271484
224,-19.4900840819855,-18.0543053142482
225,-19.2524556724433,-18.3745463560751
226,-19.0221735585867,-18.7201541002622
227,-18.7988457621572,-19.0913073452459
228,-18.5820869879226,-19.4878397694035
229,-18.3715188297689,-19.9090232250553
230,-18.1667699055416,-20.3532514121312
231,-17.9674759455591,-20.817587301851
232,-17.773279854642,-21.2971352149984
233,-17.5838317633944,-21.7842119577747
234,-17.3987890811251,-22.2673430259654
235,-17.2178165600339,-22.7302349393662
236,-17.0405863779985,-23.1511076443839
237,-16.8667782453627,-23.5030862572886
238,-16.6960795394702,-23.756544949604
239,-16.5281854692553,-23.8839144255778
240,-16.3627992709276,-23.8661260841467
241,-16.1996324346544,-23.6981132823637
242,-16.0384049611127,-23.3903715632238
243,-15.8788456458421,-22.9656244714027
244,-15.7206923884637,-22.4525796048787
245,-15.5636925230451,-21.8798904778578
246,-15.4076031651712,-21.2722828341659
247,-15.2521915706462,-20.64905338655
248,-15.0972355002007,-20.0241824247833
249,-14.9425235841179,-19.4072025975713
250,-14.7878556803463,-18.8042469227041
251,-14.6330432194269,-18.2189943022268
252,-14.4779095294579,-17.6534203447944
253,-14.3222901343426,-17.1083536117332
254,-14.1660330187349,-16.5838710054988
255,-14.0089988534063,-16.0795715314451
256,-13.8510611752101,-15.594762472482
257,-13.6921065164064,-15.1285842586175
258,-13.5320344788322,-14.6800931597878
259,-13.3707577492226,-14.2483152750512
260,-13.2082020529214,-13.8322811312123
261,-13.0443060442079,-13.431047259286
262,-12.8790211325157,-13.0437090770963
263,-12.712311244882,-12.6694080096397
264,-12.5441525260209,-12.307334828653
265,-12.3745329784402,-11.9567305482158
266,-12.2034520459773,-11.6168857762894
267,-12.0309201450086,-11.2871391258377
268,-11.8569581483497,-10.9668750881894
269,-11.6815968275141,-10.655521634847
270,-11.5048762595005,-10.3525477213242
271,-11.32684520465,-10.0574608037717
272,-11.1475604623282,-9.76980443665215
273,-10.9670862112679,-9.48915599110571
274,-10.785493341342,-9.21512451451829
275,-10.6028587833525,-8.94734873917159
276,-10.4192648431141,-8.68549523965905
277,-10.2347985457152,-8.42925673359061
278,-10.0495509953577,-8.17835051700704
279,-9.86361675563109,-7.93251702421636
280,-9.67709325449344,-7.69151850098947
281,-9.4900802176119,-7.45513777989352
282,-9.3026791330932,-7.22317714678332
283,-9.11499275001043,-6.99545728796455
284,-8.92712461252706,-6.77181630818958
285,-8.73917863084088,-6.5521088103776
286,-8.55125868962791,-6.33620502872471
287,-8.36346829416608,-6.12399000765566
288,-8.17591025386589,-5.91536281985093
289,-7.98868640253196,-5.71023581734952
290,-7.80189735432768,-5.50853391047287
291,-7.61564229411377,-5.31019387003581
292,-7.43001880058073,-5.11516364900485
293,-7.24512270039035,-4.92340172043053
294,-7.06104795138252,-4.73487642911888
295,-6.87788655278468,-4.54956535511708
296,-6.69572848028046,-4.36745468766679
297,-6.51466164374688,-4.18853860882582
298,-6.33477186545221,-4.01281868647153
299,-6.15614287651565,-3.84030327687481
300,-5.97885632946229,-3.67100693746951
301,-5.80299182475793,-3.50494985083464
302,-5.62862694927679,-3.34215726125363
303,-5.4558373247378,-3.18265892551135
304,-5.28469666423682,-3.02648857983368
305,-5.11527683510782,-2.87368342506391
306,-4.94764792645254,-2.72428363230001
307,-4.78187831979673,-2.57833187128886
308,-4.61803476144826,-2.43587286388299
309,-4.4561824352557,-2.29695296481433
310,-4.29638503458855,-2.16161977192583
311,-4.1387048324847,-2.02992176782943
312,-3.98320274903265,-1.90190799472599
313,-3.8299384151777,-1.7776277638361
314,-3.67897023226044,-1.65713040055111
315,-3.53035542670993,-1.54046502602743
316,-3.38415009942726,-1.42768037552013
317,-3.24040926950023,-1.3188246532901
318,-3.09918691199269,-1.21394542343113
319,-2.96053598964752,-1.11308953545785
320,-2.824508478432,-1.0163030829817
321,-2.69115538693762,-0.923631393290929
322,-2.56052676972233,-0.83511904515214
323,-2.43267173475269,-0.750809911676745
324,-2.30763844516502,-0.670747224656781
325,-2.18547411561877,-0.594973656381348
326,-2.06622500356323,-0.523531414608337
327,-1.94993639577678,-0.456462346094449
328,-1.83665259057193,-0.393808043888526
329,-1.72641687608362,-0.335609953473922
330,-1.61927150507727,-0.281909472810244
331,-1.51525766672545,-0.232748041373926
332,-1.414415455808,-0.188167213430801
333,-1.3167838397911,-0.148208710987884
334,-1.22240062423644,-0.112914452160508
335,-1.13130241698218,-0.0823265510456291
336,-1.04352459152461,-0.0564872856015949
337,-0.959101250011974,-0.0354390304861249
338,-0.878065186242525,-0.0192241522827388
339,-0.800447849036181,-0.00788486503652492
340,-0.726279306324538,-0.00146304450550925
341,-0.655588210278173,0
342,-0.588401763762798,-0.00353620311237763
343,-0.52474568838794,-0.0121109730214169
344,-0.46464419438413,-0.0257621183761834
345,-0.408119952515781,-0.0445255360165463
346,-0.355194068210005,-0.0684347669636871
347,-0.305886058054243,-0.0975205102129319
348,-0.260213828789653,-0.131810094883017
349,-0.218193658901954,-0.171326911226903
350,-0.179840182888158,-0.216089800896901
351,-0.145166378254545,-0.266112406696176
352,-0.114183555280798,-0.321402481855345
353,-0.0869013495653492,-0.381961158670461
354,-0.0633277173488238,-0.447782176151702
355,-0.043468933595997,-0.518851066191913
356,-0.0273295928010147,-0.595144297706255
357,-0.0149126124668824,-0.676628378256978
358,-0.00621923919705833,-0.763258912907269
359,-0.00124905732544983,-0.854979620492544
360,0,-0.951721308211957
