"Freq [GHz]","dB(S(1,1)) [] - Lpar='6.83mm' Wcuartos='0.6mm' Wpar='7mm'"
9,-0.453536343248014
9.01,-0.455665942341774
9.02,-0.457813286664337
9.03,-0.459978608648273
9.04,-0.462162152198188
9.05,-0.464364172931641
9.06,-0.466584938428444
9.07,-0.468824728488659
9.08,-0.471083835399685
9.09,-0.473362564212693
9.1,-0.47566123302891
9.11,-0.477980173296031
9.12,-0.480319730115288
9.13,-0.482680262559469
9.14,-0.485062144002433
9.15,-0.487465762460572
9.16,-0.489891520946653
9.17,-0.492339837836575
9.18,-0.494811147249606
9.19,-0.497305899442608
9.2,-0.49982456121881
9.21,-0.502367616351802
9.22,-0.504935566025301
9.23,-0.507528929289411
9.24,-0.510148243534041
9.25,-0.512794064980146
9.26,-0.51546696918966
9.27,-0.518167551594805
9.28,-0.520896428047662
9.29,-0.523654235390827
9.3,-0.526441632050065
9.31,-0.529259298649944
9.32,-0.532107938653398
9.33,-0.534988279026258
9.34,-0.537901070927875
9.35,-0.540847090428926
9.36,-0.543827139257651
9.37,-0.546842045575737
9.38,-0.54989266478518
9.39,-0.552979880367491
9.4,-0.55610460475674
9.41,-0.559267780247873
9.42,-0.562470379941996
9.43,-0.56571340873025
9.44,-0.568997904318025
9.45,-0.572324938291397
9.46,-0.575695617227738
9.47,-0.579111083852522
9.48,-0.582572518244472
9.49,-0.586081139091343
9.5,-0.589638204998708
9.51,-0.59324501585423
9.52,-0.596902914250096
9.53,-0.600613286966375
9.54,-0.6043775665182
9.55,-0.608197232769928
9.56,-0.612073814619428
9.57,-0.616008891755999
9.58,-0.620004096495536
9.59,-0.624061115696643
9.6,-0.628181692761866
9.61,-0.632367629728188
9.62,-0.636620789451263
9.63,-0.640943097888169
9.64,-0.64533654648365
9.65,-0.649803194665067
9.66,-0.654345172451769
9.67,-0.658964683184612
9.68,-0.66366400638202
9.69,-0.668445500729031
9.7,-0.673311607206452
9.71,-0.678264852367428
9.72,-0.683307851769199
9.73,-0.688443313568481
9.74,-0.693674042289103
9.75,-0.699002942771271
9.76,-0.704433024312308
9.77,-0.709967405009324
9.78,-0.715609316314948
9.79,-0.72136210781782
9.8,-0.727229252260421
9.81,-0.733214350807477
9.82,-0.739321138579062
9.83,-0.745553490463343
9.84,-0.751915427224961
9.85,-0.758411121925892
9.86,-0.765044906676945
9.87,-0.771821279738951
9.88,-0.77874491299409
9.89,-0.785820659809127
9.9,-0.793053563313695
9.91,-0.800448865118297
9.92,-0.808012014498319
9.93,-0.815748678072183
9.94,-0.823664750003466
9.95,-0.831766362759052
9.96,-0.840059898457314
9.97,-0.84855200084286
9.98,-0.857249587926678
9.99,-0.866159865333402
10,-0.875290340400045
10.01,-0.88464883707399
10.02,-0.894243511660947
10.03,-0.904082869477706
10.04,-0.914175782467758
10.05,-0.924531507842707
10.06,-0.935159707816299
10.07,-0.946070470503169
10.08,-0.957274332059457
10.09,-0.968782300148063
10.1,-0.980605878817595
10.11,-0.992757094890474
10.12,-1.00524852596289
10.13,-1.01809333012703
10.14,-1.03130527753429
10.15,-1.04489878392714
10.16,-1.05888894627742
10.17,-1.07329158067889
10.18,-1.0881232626539
10.19,-1.10340137004611
10.2,-1.11914412868488
10.21,-1.13537066102156
10.22,-1.15210103795379
10.23,-1.16935633407135
10.24,-1.1871586865757
10.25,-1.20553135814607
10.26,-1.22449880404692
10.27,-1.24408674379613
10.28,-1.26432223773942
10.29,-1.28523376890549
10.3,-1.30685133054768
10.31,-1.32920651981221
10.32,-1.35233263801066
10.33,-1.37626479801485
10.34,-1.40104003933787
10.35,-1.42669745151287
10.36,-1.45327830643596
10.37,-1.48082620039788
10.38,-1.50938720659352
10.39,-1.53901003897014
10.4,-1.56974622835198
10.41,-1.60165031186598
10.42,-1.63478003678723
10.43,-1.66919658002759
10.44,-1.70496478460613
10.45,-1.74215341456815
10.46,-1.78083542996059
10.47,-1.82108828362948
10.48,-1.86299424177952
10.49,-1.90664073043113
10.5,-1.95212071012808
10.51,-1.9995330814927
10.52,-2.04898312449969
10.53,-2.10058297464784
10.54,-2.15445213955734
10.55,-2.2107180599148
10.56,-2.26951671913676
10.57,-2.33099330663439
10.58,-2.39530294014811
10.59,-2.46261145329578
10.6,-2.53309625525663
10.61,-2.60694727041786
10.62,-2.68436796686468
10.63,-2.76557648383004
10.64,-2.85080686967487
10.65,-2.94031044369124
10.66,-3.03435729706989
10.67,-3.1332379508232
10.68,-3.23726519140236
10.69,-3.34677610830963
10.7,-3.46213436233798
10.71,-3.58373271836311
10.72,-3.71199588311857
10.73,-3.8473836964213
10.74,-3.99039473430183
10.75,-4.1415703949709
10.76,-4.30149955423331
10.77,-4.47082389677982
10.78,-4.65024405499192
10.79,-4.84052671915315
10.8,-5.04251292452208
10.81,-5.25712777465325
10.82,-5.4853919308636
10.83,-5.72843529068772
10.84,-5.98751340176196
10.85,-6.26402732351503
10.86,-6.55954787414825
10.87,-6.87584550924547
10.88,-7.2149275074125
10.89,-7.57908474253053
10.9,-7.97095118577645
10.91,-8.39358053519906
10.92,-8.85054622653838
10.93,-9.34607387920187
10.94,-9.88521954990229
10.95,-10.4741139902129
10.96,-11.1203041809744
10.97,-11.8332419450732
10.98,-12.6250014912916
10.99,-13.5113653004188
11,-14.5135255133003
11.01,-15.6608589849286
11.02,-16.9956667576448
11.03,-18.5816881504534
11.04,-20.5201210274585
11.05,-22.9796556558868
11.06,-26.2319572028685
11.07,-30.3315247899832
11.08,-31.6787798888886
11.09,-27.8554412432705
11.1,-24.2101674947782
11.11,-21.4736333100893
11.12,-19.3561259964178
11.13,-17.6492083783543
11.14,-16.2287848415516
11.15,-15.0183703435906
11.16,-13.9682366481407
11.17,-13.0444455030225
11.18,-12.2228676421119
11.19,-11.4857510957276
11.2,-10.819654885448
11.21,-10.2141507247484
11.22,-9.66097661064501
11.23,-9.15346712705928
11.24,-8.68615922184935
11.25,-8.25451272152452
11.26,-7.85470791787079
11.27,-7.48349617087426
11.28,-7.13808775770194
11.29,-6.81606638525649
11.3,-6.51532311521836
11.31,-6.23400463907683
11.32,-5.97047230838661
11.33,-5.72326932832999
11.34,-5.49109421958958
11.35,-5.27277914541058
11.36,-5.06727205280158
11.37,-4.87362183210844
11.38,-4.69096588648894
11.39,-4.51851964173681
11.4,-4.355567630973
11.41,-4.20145586740887
11.42,-4.05558527839487
11.43,-3.91740602009817
11.44,-3.78641252788186
11.45,-3.66213918532679
11.46,-3.5441565167224
11.47,-3.43206782514909
11.48,-3.32550621202737
11.49,-3.2241319250141
11.5,-3.12762998997619
11.51,-3.03570808993964
11.52,-2.94809465973871
11.53,-2.86453716986134
11.54,-2.78480057691064
11.55,-2.70866592134762
11.56,-2.63592905587772
11.57,-2.5663994901001
11.58,-2.49989933893128
11.59,-2.43626236391506
11.6,-2.37533309788597
11.61,-2.31696604461074
11.62,-2.26102494602209
11.63,-2.20738211051006
11.64,-2.15591779647318
11.65,-2.10651964596799
11.66,-2.05908216385277
11.67,-2.01350623830559
11.68,-1.9696986990232
11.69,-1.92757190978201
11.7,-1.88704339237303
11.71,-1.84803547921567
11.72,-1.81047499221492
11.73,-1.77429294565848
11.74,-1.73942427115596
11.75,-1.70580756280747
11.76,-1.67338484095411
11.77,-1.64210133301143
11.78,-1.61190527001995
11.79,-1.58274769766796
11.8,-1.55458230064971
11.81,-1.52736523932015
11.82,-1.50105499769676
11.83,-1.4756122419386
11.84,-1.45099968850631
11.85,-1.42718198127244
11.86,-1.40412557691233
11.87,-1.38179863795997
11.88,-1.36017093296361
11.89,-1.33921374322117
11.9,-1.31889977561713
11.91,-1.29920308112046
11.92,-1.28009897853785
11.93,-1.26156398314813
11.94,-1.24357573987304
11.95,-1.22611296066573
11.96,-1.20915536582302
11.97,-1.1926836289497
11.98,-1.17667932532371
11.99,-1.16112488342982
12,-1.14600353944685
12.01,-1.13129929448918
12.02,-1.1169968744183
12.03,-1.10308169205324
12.04,-1.08953981162146
12.05,-1.07635791530292
12.06,-1.06352327173097
12.07,-1.05102370632317
12.08,-1.03884757332406
12.09,-1.02698372945047
12.1,-1.01542150903759
12.11,-1.00415070059062
12.12,-0.993161524654284
12.13,-0.982444612917564
12.14,-0.971990988477353
12.15,-0.961792047189503
12.16,-0.95183954004091
12.17,-0.94212555648021
12.18,-0.932642508649528
12.19,-0.923383116462799
12.2,-0.914340393480409
12.21,-0.905507633532642
12.22,-0.896878398048053
12.23,-0.888446504045181
12.24,-0.880206012749159
12.25,-0.872151218796904
12.26,-0.864276639997129
12.27,-0.856577007613299
12.28,-0.849047257139983
12.29,-0.841682519544433
12.3,-0.834478112947561
12.31,-0.827429534719489
12.32,-0.820532453966856
12.33,-0.81378270439017
12.34,-0.807176277490755
12.35,-0.800709316108544
12.36,-0.794378108272421
12.37,-0.788179081346433
12.38,-0.782108796455957
12.39,-0.776163943178956
12.4,-0.770341334488047
12.41,-0.764637901930441
12.42,-0.759050691033061
12.43,-0.753576856921169
12.44,-0.748213660139416
12.45,-0.742958462664878
12.46,-0.737808724102188
12.47,-0.732761998051493
12.48,-0.727815928640473
12.49,-0.722968247212051
12.5,-0.71821676916012
12.51,-0.713559390905693
12.52,-0.708994087006659
12.53,-0.704518907394384
12.54,-0.700131974731101
12.55,-0.695831481881876
12.56,-0.691615689495889
12.57,-0.687482923691457
12.58,-0.683431573839933
12.59,-0.679460090443671
12.6,-0.675566983103539
12.61,-0.671750818571796
12.62,-0.668010218886109
12.63,-0.66434385958107
12.64,-0.660750467973404
12.65,-0.657228821517555
12.66,-0.653777746228215
12.67,-0.650396115166799
12.68,-0.647082846988821
12.69,-0.643836904549459
12.7,-0.640657293564499
12.71,-0.637543061324205
12.72,-0.63449329545773
12.73,-0.631507122745577
12.74,-0.628583707978274
12.75,-0.625722252858706
12.76,-0.622921994946601
12.77,-0.620182206642883
12.78,-0.617502194212403
12.79,-0.614881296843046
12.8,-0.612318885739885
12.81,-0.609814363252514
12.82,-0.607367162034318
12.83,-0.604976744232113
12.84,-0.602642600704894
12.85,-0.600364250270333
12.86,-0.598141238977746
12.87,-0.595973139406604
12.88,-0.593859549989081
12.89,-0.591800094355888
12.9,-0.589794420704176
12.91,-0.587842201186599
12.92,-0.585943131320601
12.93,-0.584096929417022
12.94,-0.582303336027063
12.95,-0.580562113406976
12.96,-0.578873044999586
12.97,-0.577235934931752
12.98,-0.575650607527379
12.99,-0.574116906834914
13,-0.572634696169018
